,station_name,start station latitude,start station longitude,latlng,neighborhood,postal_code,state,sublocality
173,Carmine St & 6 Ave,40.73038599,-74.00214988,"40.73038599,-74.00214988",West Village,10014,NY,Manhattan
174,W 13 St & 7 Ave,40.73781509,-73.99994661,"40.73781509,-73.99994661",West Village,10011,NY,Manhattan
175,W 16 St & The High Line,40.74334935,-74.00681753,"40.74334935,-74.00681753",Chelsea,10011,NY,Manhattan
176,Columbia Heights & Cranberry St,40.70037867,-73.99548059,"40.70037867,-73.99548059",Brooklyn Heights,11201,NY,Brooklyn
177,W 41 St & 8 Ave,40.75640548,-73.9900262,"40.75640548,-73.9900262",Theater District,10018,NY,Manhattan
178,Lispenard St & Broadway,40.71939226,-74.00247214,"40.71939226,-74.00247214",Tribeca,10013,NY,Manhattan
179,Clinton Ave & Myrtle Ave,40.693261,-73.968896,"40.693261,-73.968896",Clinton Hill,11205,NY,Brooklyn
180,E 2 St & Avenue C,40.720873600000004,-73.98085795,"40.7208736,-73.98085795",Alphabet City,10009,NY,Manhattan
181,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,"40.68691865,-73.976682",Fort Greene,11217,NY,Brooklyn
182,W 25 St & 6 Ave,40.74395411,-73.99144871,"40.74395411,-73.99144871",Flatiron District,10010,NY,Manhattan
183,Sullivan St & Washington Sq,40.73047747,-73.99906065,"40.73047747,-73.99906065",Greenwich Village,10012,NY,Manhattan
184,Mercer St & Spring St,40.72362738,-73.99949601,"40.72362738,-73.99949601",SoHo,10012,NY,Manhattan
185,Pershing Square N,40.75188406,-73.97770164,"40.75188406,-73.97770164",Murray Hill,10168,NY,Manhattan
186,W 27 St & 7 Ave,40.746646999999996,-73.993915,"40.746647,-73.993915",Chelsea,10001,NY,Manhattan
187,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,"40.71534825,-73.96024116",Williamsburg,11211,NY,Brooklyn
188,Norfolk St & Broome St,40.7172274,-73.98802084,"40.7172274,-73.98802084",Lower East Side,10002,NY,Manhattan
189,E 20 St & FDR Drive,40.73314259,-73.97573881,"40.73314259,-73.97573881",Stuyvesant Town,10009,NY,Manhattan
190,Park Ave & St Edwards St,40.69608941,-73.97803415,"40.69608941,-73.97803415",Fort Greene,11205,NY,Brooklyn
191,University Pl & E 14 St,40.73492695,-73.99200509,"40.73492695,-73.99200509",Greenwich Village,10003,NY,Manhattan
192,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,"40.68764484,-73.96968902",Fort Greene,11238,NY,Brooklyn
193,W 18 St & 6 Ave,40.73971301,-73.99456405,"40.73971301,-73.99456405",Midtown,10011,NY,Manhattan
194,Railroad Ave & Kay Ave,40.70531194,-73.97100056,"40.70531194,-73.97100056",Brooklyn Navy Yard,11249,NY,Brooklyn
195,Stanton St & Chrystie St,40.72229346,-73.99147535,"40.72229346,-73.99147535",Bowery,10002,NY,Manhattan
196,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,"40.72917025,-73.99810231",Greenwich Village,10012,NY,Manhattan
197,Reade St & Broadway,40.71450451,-74.00562789,"40.71450451,-74.00562789",Civic Center,10007,NY,Manhattan
198,E 51 St & 1 Ave,40.75455731,-73.96592976,"40.75455731,-73.96592976",Midtown East,10022,NY,Manhattan
199,Pitt St & Stanton St,40.71926081,-73.98178024,"40.71926081,-73.98178024",Lower East Side,10002,NY,Manhattan
200,Jay St & Tech Pl,40.695065,-73.987167,"40.695065,-73.987167",Downtown Brooklyn,11201,NY,Brooklyn
201,DeKalb Ave & Skillman St,40.6906495,-73.95643107,"40.6906495,-73.95643107",Bedford-Stuyvesant,11205,NY,Brooklyn
202,Pearl St & Anchorage Pl,40.70281858,-73.98765762,"40.70281858,-73.98765762",Dumbo,11201,NY,Brooklyn
203,E 53 St & Madison Ave,40.75971079999999,-73.97402311,"40.7597108,-73.97402311",Midtown East,10022,NY,Manhattan
204,Lawrence St & Willoughby St,40.69236178,-73.98631746,"40.69236178,-73.98631746",Downtown Brooklyn,11201,NY,Brooklyn
205,Lafayette Ave & St James Pl,40.68851534,-73.9647628,"40.68851534,-73.9647628",Clinton Hill,11205,NY,Brooklyn
206,State St,40.70251526,-74.01427023,"40.70251526,-74.01427023",Lower Manhattan,10004,NY,Manhattan
207,Clermont Ave & Park Ave,40.69573398,-73.97129668,"40.69573398,-73.97129668",Fort Greene,11205,NY,Brooklyn
208,W 56 St & 10 Ave,40.768254,-73.988639,"40.768254,-73.988639",Hell's Kitchen,10019,NY,Manhattan
209,W 22 St & 8 Ave,40.74475148,-73.99915362,"40.74475148,-73.99915362",Chelsea,10011,NY,Manhattan
210,W 21 St & 6 Ave,40.74173969,-73.99415556,"40.74173969,-73.99415556",Chelsea,10011,NY,Manhattan
211,1 Ave & E 18 St,40.73416059,-73.98024289,"40.73416059,-73.98024289",Stuyvesant Town,10009,NY,Manhattan
212,Lafayette St & Jersey St,40.72456089,-73.99565293,"40.72456089,-73.99565293",Nolita,10012,NY,Manhattan
213,Madison St & Montgomery St,40.713126,-73.984844,"40.713126,-73.984844",Lower East Side,10002,NY,Manhattan
214,5 Ave & E 29 St,40.7451677,-73.98683077,"40.7451677,-73.98683077",NoMad,10016,NY,Manhattan
215,Broad St & Bridge St,40.70365182,-74.01167797,"40.70365182,-74.01167797",Financial District,10004,NY,Manhattan
216,E 13 St & Avenue A,40.72955361,-73.98057249,"40.72955361,-73.98057249",Alphabet City,10009,NY,Manhattan
217,Clinton Ave & Flushing Ave,40.69794,-73.96986848,"40.69794,-73.96986848",Brooklyn Navy Yard,11205,NY,Brooklyn
218,Suffolk St & Stanton St,40.72066442,-73.98517977,"40.72066442,-73.98517977",Lower East Side,10002,NY,Manhattan
219,E 2 St & 2 Ave,40.72502876,-73.99069656,"40.72502876,-73.99069656",Bowery,10003,NY,Manhattan
220,2 Ave & E 31 St,40.74290902,-73.97706058,"40.74290902,-73.97706058",Kips Bay,10016,NY,Manhattan
221,E 23 St & 1 Ave,40.736502,-73.97809472,"40.736502,-73.97809472",Peter Cooper Village,10010,NY,Manhattan
222,W 20 St & 11 Ave,40.746745000000004,-74.007756,"40.746745,-74.007756",Chelsea,10011,NY,Manhattan
223,Howard St & Centre St,40.71910537,-73.99973337,"40.71910537,-73.99973337",Little Italy,10013,NY,Manhattan
224,W 44 St & 5 Ave,40.75500254,-73.98014437,"40.75500254,-73.98014437",Midtown West,10036,NY,Manhattan
225,8 Ave & W 52 St,40.76370739,-73.9851615,"40.76370739,-73.9851615",Theater District,10019,NY,Manhattan
226,Clinton St & Tillary St,40.696191999999996,-73.991218,"40.696192,-73.991218",Downtown Brooklyn,11201,NY,Brooklyn
227,W 46 St & 11 Ave,40.76341379,-73.99667444,"40.76341379,-73.99667444",Hell's Kitchen,10036,NY,Manhattan
228,W 15 St & 7 Ave,40.73935542,-73.99931783,"40.73935542,-73.99931783",Chelsea,10011,NY,Manhattan
229,W 49 St & 8 Ave,40.76227205,-73.98788205,"40.76227205,-73.98788205",Hell's Kitchen,10019,NY,Manhattan
230,Allen St & Rivington St,40.72019576,-73.98997825,"40.72019576,-73.98997825",Lower East Side,10002,NY,Manhattan
231,Laight St & Hudson St,40.72185379,-74.00771779,"40.72185379,-74.00771779",Tribeca,10013,NY,Manhattan
232,Barclay St & Church St,40.71291224,-74.01020234,"40.71291224,-74.01020234",Tribeca,10007,NY,Manhattan
233,W 49 St & 5 Ave,40.75795248,-73.97787642,"40.75795248,-73.97787642",Midtown West,10020,NY,Manhattan
234,8 Ave & W 31 St,40.75044999,-73.99481051,"40.75044999,-73.99481051",Chelsea,10199,NY,Manhattan
235,Broadway & W 39 St,40.75299641,-73.98721619,"40.75299641,-73.98721619",Garment District,10018,NY,Manhattan
236,Cleveland Pl & Spring St,40.7218158,-73.99720307,"40.7218158,-73.99720307",Nolita,10012,NY,Manhattan
237,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,"40.7390169121,-74.0026376103",Lower Manhattan,10011,NY,Manhattan
238,Church St & Leonard St,40.71743998,-74.00583475,"40.71743998,-74.00583475",Tribeca,10013,NY,Manhattan
239,W 42 St & 8 Ave,40.75756989999999,-73.99098507,"40.7575699,-73.99098507",Garment District,10036,NY,Manhattan
240,E 30 St & Park Ave S,40.74444921,-73.98303529,"40.74444921,-73.98303529",Rose Hill,10016,NY,Manhattan
241,Division St & Bowery,40.71413089,-73.99704679999999,"40.71413089,-73.9970468",Chinatown,10002,NY,Manhattan
242,Willoughby Ave & Walworth St,40.69331716,-73.95381995,"40.69331716,-73.95381995",Bedford-Stuyvesant,11205,NY,Brooklyn
243,Park Pl & Church St,40.71336124,-74.00937622,"40.71336124,-74.00937622",Tribeca,10007,NY,Manhattan
244,Bank St & Washington St,40.7361967,-74.00859207,"40.7361967,-74.00859207",West Village,10014,NY,Manhattan
245,W 45 St & 6 Ave,40.7568001,-73.98291153,"40.7568001,-73.98291153",Midtown West,10036,NY,Manhattan
246,Warren St & Church St,40.71473993,-74.00910627,"40.71473993,-74.00910627",Tribeca,10007,NY,Manhattan
247,Dean St & 4 Ave,40.68312489,-73.97895137,"40.68312489,-73.97895137",Park Slope,11217,NY,Brooklyn
248,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,"40.75320159,-73.9779874",Midtown East,10017,NY,Manhattan
249,W 52 St & 11 Ave,40.76727216,-73.99392888,"40.76727216,-73.99392888",Hell's Kitchen,10019,NY,Manhattan
250,W 52 St & 5 Ave,40.75992262,-73.97648516,"40.75992262,-73.97648516",Midtown West,10019,NY,Manhattan
251,E 4 St & 2 Ave,40.726280700000004,-73.98978041,"40.7262807,-73.98978041",Bowery,10003,NY,Manhattan
252,10 Ave & W 28 St,40.75066386,-74.00176802,"40.75066386,-74.00176802",Chelsea,10001,NY,Manhattan
253,E 51 St & Lexington Ave,40.75714758,-73.97207836,"40.75714758,-73.97207836",Midtown East,10022,NY,Manhattan
254,E 20 St & Park Ave,40.73827428,-73.98751968,"40.73827428,-73.98751968",Gramercy Park,10010,NY,Manhattan
255,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,"40.69597683,-73.99014892",Downtown Brooklyn,11201,NY,Brooklyn
256,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,"40.71622644,-73.98261206",Lower East Side,10002,NY,Manhattan
257,E 16 St & Irving Pl,40.73524276,-73.98758561,"40.73524276,-73.98758561",Gramercy Park,10003,NY,Manhattan
258,Avenue D & E 8 St,40.72368361,-73.97574813,"40.72368361,-73.97574813",East Village,10009,NY,Manhattan
259,E 47 St & 1 Ave,40.75206862,-73.96784384,"40.75206862,-73.96784384",Midtown East,10017,NY,Manhattan
260,W 33 St & 7 Ave,40.75019995,-73.99093085,"40.75019995,-73.99093085",Chelsea,10001,NY,Manhattan
261,W Broadway & Spring St,40.72490985,-74.00154702,"40.72490985,-74.00154702",SoHo,10012,NY,Manhattan
262,E 39 St & 2 Ave,40.74780373,-73.97344190000001,"40.74780373,-73.9734419",Murray Hill,10016,NY,Manhattan
263,W 13 St & 6 Ave,40.73649403,-73.99704374,"40.73649403,-73.99704374",Greenwich Village,10011,NY,Manhattan
264,W 20 St & 7 Ave,40.74238787,-73.99726235,"40.74238787,-73.99726235",Chelsea,10011,NY,Manhattan
265,Pershing Square S,40.75149263,-73.97798848,"40.75149263,-73.97798848",Murray Hill,10168,NY,Manhattan
266,Catherine St & Monroe St,40.71117444,-73.99682619,"40.71117444,-73.99682619",Two Bridges,10038,NY,Manhattan
267,E 25 St & 2 Ave,40.73912601,-73.97973776,"40.73912601,-73.97973776",Kips Bay,10010,NY,Manhattan
268,E 32 St & Park Ave,40.745712100000006,-73.98194829,"40.7457121,-73.98194829",Midtown,10016,NY,Manhattan
269,Front St & Maiden Ln,40.70530954,-74.00612572,"40.70530954,-74.00612572",Financial District,10270,NY,Manhattan
270,Duane St & Greenwich St,40.71748752,-74.0104554,"40.71748752,-74.0104554",Tribeca,10013,NY,Manhattan
271,Columbia St & Rivington St,40.71739973,-73.98016555,"40.71739973,-73.98016555",Lower East Side,10002,NY,Manhattan
272,E 6 St & Avenue B,40.72453734,-73.98185424,"40.72453734,-73.98185424",Alphabet City,10009,NY,Manhattan
273,Broadway & W 51 St,40.76228826,-73.98336183,"40.76228826,-73.98336183",Theater District,10019,NY,Manhattan
274,W 31 St & 7 Ave,40.749156,-73.9916,"40.749156,-73.9916",Chelsea,10001,NY,Manhattan
