,station_name,start station latitude,start station longitude,latlng,neighborhood,postal_code,state,sublocality
339,N 15 St & Wythe Ave,40.724055,-73.955736,"40.724055,-73.955736",Greenpoint,11222,NY,Brooklyn
340,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,"40.78524672,-73.97667321",Upper West Side,10024,NY,Manhattan
341,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,"40.69527008,-73.95238108",Bedford-Stuyvesant,11206,NY,Brooklyn
342,Graham Ave & Conselyea St,40.715143,-73.944507,"40.715143,-73.944507",Williamsburg,11211,NY,Brooklyn
343,E 72 St & York Ave,40.76663814,-73.95348296,"40.76663814,-73.95348296",Lenox Hill,10021,NY,Manhattan
344,E 24 St & Park Ave S,40.74096374,-73.98602213,"40.74096374,-73.98602213",Flatiron District,10010,NY,Manhattan
345,N 12 St & Bedford Ave,40.72079821,-73.95484712,"40.72079821,-73.95484712",Williamsburg,11222,NY,Brooklyn
346,W 64 St & West End Ave,40.77452835,-73.98753759,"40.77452835,-73.98753759",Lincoln Square,10023,NY,Manhattan
347,21 St & 43 Ave,40.75052534,-73.94594845,"40.75052534,-73.94594845",Hunters Point,11101,NY,Queens
348,21 St & Queens Plaza North,40.75325964,-73.94335788,"40.75325964,-73.94335788",Long Island City,11101,NY,Queens
349,W 84 St & Broadway,40.7867947,-73.977112,"40.7867947,-73.977112",Upper West Side,10024,NY,Manhattan
350,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,"40.7768286344,-73.9638876915",Upper East Side,10021,NY,Manhattan
351,3 Ave & E 62 St,40.76312584,-73.96526895,"40.76312584,-73.96526895",Lenox Hill,10065,NY,Manhattan
352,Leonard St & Boerum St,40.70583339,-73.94644578,"40.70583339,-73.94644578",Williamsburg,11206,NY,Brooklyn
353,Central Park West & W 76 St,40.77896784,-73.97374737,"40.77896784,-73.97374737",Central Park,10023,NY,Manhattan
354,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,"40.69681963,-73.93756926",Bedford-Stuyvesant,11206,NY,Brooklyn
355,W 67 St & Broadway,40.77492513,-73.98266566,"40.77492513,-73.98266566",Lincoln Square,10023,NY,Manhattan
356,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,"40.7678008015,-73.9659208059",Lenox Hill,10065,NY,Manhattan
357,Albany Ave & Fulton St,40.6800105,-73.938475,"40.6800105,-73.938475",Bedford-Stuyvesant,11216,NY,Brooklyn
358,Union Ave & Wallabout St,40.70029511,-73.95032283,"40.70029511,-73.95032283",Williamsburg,11206,NY,Brooklyn
359,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,"40.69128258,-73.9452416",Bedford-Stuyvesant,11221,NY,Brooklyn
360,Marcy Ave & MacDonough St,40.68061768455451,-73.94624948501588,"40.6806176846,-73.946249485",Bedford-Stuyvesant,11216,NY,Brooklyn
361,S 4 St & Rodney St,40.709340000000005,-73.95608,"40.70934,-73.95608",Williamsburg,11211,NY,Brooklyn
362,Kent Ave & N 7 St,40.72057658,-73.96150225,"40.72057658,-73.96150225",Williamsburg,11249,NY,Brooklyn
363,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,"40.69539817,-73.94954908",Bedford-Stuyvesant,11206,NY,Brooklyn
364,E 81 St & 3 Ave,40.77573034,-73.9567526,"40.77573034,-73.9567526",Upper East Side,10028,NY,Manhattan
365,Franklin St & Dupont St,40.735640000000004,-73.95866,"40.73564,-73.95866",Greenpoint,11222,NY,Brooklyn
366,11 Ave & W 59 St,40.771522,-73.99054100000001,"40.771522,-73.990541",Lincoln Square,10019,NY,Manhattan
367,46 Ave & 5 St,40.74731,-73.95451,"40.74731,-73.95451",Hunters Point,11101,NY,Queens
368,India St & East River,40.73165141,-73.96161892,"40.73165141,-73.96161892",Greenpoint,11222,NY,Brooklyn
369,N 6 St & Bedford Ave,40.71745169,-73.95850939,"40.71745169,-73.95850939",Williamsburg,11249,NY,Brooklyn
370,Center Blvd & Borden Ave,40.741609999999994,-73.96044,"40.74161,-73.96044",Long Island City,11101,NY,Queens
371,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,"40.6900815,-73.947915",Bedford-Stuyvesant,11216,NY,Brooklyn
372,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877,"40.6933982,-73.939877",Bedford-Stuyvesant,11221,NY,Brooklyn
373,Sands St & Navy St,40.699773,-73.979927,"40.699773,-73.979927",Brooklyn Navy Yard,11201,NY,Brooklyn
374,Banker St & Meserole Ave,40.72606,-73.95621,"40.72606,-73.95621",Greenpoint,11222,NY,Brooklyn
375,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,"40.739973541,-74.005138725",West Village,10014,NY,Manhattan
376,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,"40.72179134,-73.9504154",Williamsburg,11222,NY,Brooklyn
377,Leonard St & Grand St,40.71103537,-73.94714303,"40.71103537,-73.94714303",Williamsburg,11211,NY,Brooklyn
378,Bedford Ave & S 9 St,40.70853074,-73.96408963,"40.70853074,-73.96408963",Williamsburg,11211,NY,Brooklyn
379,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,"40.69957608,-73.94708417",Bedford-Stuyvesant,11206,NY,Brooklyn
380,N Henry St & Richardson St,40.71921585,-73.94244690000001,"40.71921585,-73.9424469",Williamsburg,11222,NY,Brooklyn
381,Queens Plaza North & Crescent St,40.75110165,-73.94073717,"40.75110165,-73.94073717",Long Island City,11101,NY,Queens
382,Division Ave & Marcy Ave,40.70708701,-73.95796783,"40.70708701,-73.95796783",Williamsburg,11211,NY,Brooklyn
383,Riverside Dr & W 82 St,40.78720869,-73.98128127,"40.78720869,-73.98128127",Upper West Side,10024,NY,Manhattan
384,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,"40.72708584,-73.95299117",Greenpoint,11222,NY,Brooklyn
385,9 St & 44 Rd,40.74966,-73.9521,"40.74966,-73.9521",Hunters Point,11101,NY,Queens
386,Carlton Ave & Flushing Ave,40.697787,-73.973736,"40.697787,-73.973736",Brooklyn Navy Yard,11205,NY,Brooklyn
387,India St & Manhattan Ave,40.73232194,-73.9550858,"40.73232194,-73.9550858",Greenpoint,11222,NY,Brooklyn
388,E 75 St & 3 Ave,40.77112927,-73.95772297,"40.77112927,-73.95772297",Lenox Hill,10021,NY,Manhattan
389,Leonard St & Bayard St,40.71928,-73.94861,"40.71928,-73.94861",Williamsburg,11222,NY,Brooklyn
390,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,"40.70767788,-73.94016171",Williamsburg,11206,NY,Brooklyn
391,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,"40.698617,-73.941342",Bedford-Stuyvesant,11206,NY,Brooklyn
392,E 33 St & 2 Ave,40.744023,-73.976056,"40.744023,-73.976056",Kips Bay,10016,NY,Manhattan
393,E 82 St & 2 Ave,40.77517793,-73.95324922,"40.77517793,-73.95324922",Yorkville,10028,NY,Manhattan
394,Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448,"40.7805779901,-73.9856243134",Upper West Side,10023,NY,Manhattan
395,Stagg St & Union Ave,40.70877084,-73.95095259,"40.70877084,-73.95095259",Williamsburg,11211,NY,Brooklyn
396,Greene Ave & Throop Ave,40.6894932,-73.942061,"40.6894932,-73.942061",Bedford-Stuyvesant,11221,NY,Brooklyn
397,Henry St & Grand St,40.714215,-73.981346,"40.714215,-73.981346",Lower East Side,10002,NY,Manhattan
398,W 63 St & Broadway,40.77163851,-73.98261428,"40.77163851,-73.98261428",Lincoln Square,10023,NY,Manhattan
399,Humboldt St & Varet St,40.7031724,-73.940636,"40.7031724,-73.940636",Williamsburg,11206,NY,Brooklyn
400,E 81 St & Park Ave,40.77677702,-73.95900970000001,"40.77677702,-73.9590097",Upper East Side,10028,NY,Manhattan
401,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,"40.69425403,-73.94626915",Bedford-Stuyvesant,11206,NY,Brooklyn
402,W 74 St & Columbus Ave,40.7785669,-73.97754961,"40.7785669,-73.97754961",Upper West Side,10023,NY,Manhattan
403,Bus Slip & State St,40.701907,-74.013942,"40.701907,-74.013942",Financial District,10004,NY,Manhattan
404,E 60 St & York Ave,40.759107,-73.959223,"40.759107,-73.959223",Lenox Hill,10022,NY,Manhattan
405,Cadman Plaza West & Montague St,40.69383,-73.990539,"40.69383,-73.990539",Brooklyn Heights,11201,NY,Brooklyn
406,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,"40.68402,-73.94977",Bedford-Stuyvesant,11216,NY,Brooklyn
407,E 84 St & Park Ave,40.77862688,-73.95772073,"40.77862688,-73.95772073",Upper East Side,10028,NY,Manhattan
408,Graham Ave & Withers St,40.7169811,-73.94485918,"40.7169811,-73.94485918",Williamsburg,11211,NY,Brooklyn
409,Hope St & Union Ave,40.71167351,-73.95141312,"40.71167351,-73.95141312",Williamsburg,11211,NY,Brooklyn
410,E 59 St & Madison Ave,40.76350532,-73.97109243,"40.76350532,-73.97109243",Lenox Hill,10022,NY,Manhattan
411,Shevchenko Pl & E 7 St,40.728145,-73.990214,"40.728145,-73.990214",Ukrainian Village,10003,NY,Manhattan
412,W 84 St & Columbus Ave,40.78499979,-73.97283406,"40.78499979,-73.97283406",Upper West Side,10024,NY,Manhattan
413,Graham Ave & Herbert St,40.71929301,-73.94500379,"40.71929301,-73.94500379",Williamsburg,11222,NY,Brooklyn
414,Bushwick Ave & Powers St,40.71247661,-73.94100005,"40.71247661,-73.94100005",Williamsburg,11211,NY,Brooklyn
415,Riverside Dr & W 78 St,40.78414472,-73.98362492,"40.78414472,-73.98362492",Upper West Side,10024,NY,Manhattan
416,E 85 St & York Ave,40.77536905,-73.94803392,"40.77536905,-73.94803392",Yorkville,10028,NY,Manhattan
417,Scholes St & Manhattan Ave,40.70870368,-73.9448625,"40.70870368,-73.9448625",Williamsburg,11206,NY,Brooklyn
418,N 11 St & Wythe Ave,40.72153267,-73.95782357,"40.72153267,-73.95782357",Williamsburg,11249,NY,Brooklyn
419,48 Ave & 5 St,40.74436328706688,-73.95587325096129,"40.7443632871,-73.955873251",Hunters Point,11101,NY,Queens
420,Lorimer St & Broadway,40.70411791,-73.94818595,"40.70411791,-73.94818595",Broadway Triangle,11206,NY,Brooklyn
421,Huron St & Franklin St,40.732659999999996,-73.95826,"40.73266,-73.95826",Greenpoint,11222,NY,Brooklyn
422,Division Ave & Hooper St,40.70691254,-73.95441667,"40.70691254,-73.95441667",Williamsburg,11211,NY,Brooklyn
423,Central Park West & W 85 St,40.78472675,-73.96961715,"40.78472675,-73.96961715",Central Park,10024,NY,Manhattan
424,Penn Station Valet,40.751283596962296,-73.99692445993422,"40.751283597,-73.9969244599",Chelsea,10199,NY,Manhattan
425,Columbus Ave & W 72 St,40.7770575,-73.97898475,"40.7770575,-73.97898475",Lincoln Square,10023,NY,Manhattan
426,E 85 St & 3 Ave,40.77801203,-73.95407149,"40.77801203,-73.95407149",Yorkville,10028,NY,Manhattan
427,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,"40.69878,-73.99712",Brooklyn Heights,11201,NY,Brooklyn
428,44 Dr & Jackson Ave,40.74718234,-73.9432635,"40.74718234,-73.9432635",Hunters Point,11101,NY,Queens
429,1 Ave & E 68 St,40.76500525,-73.95818491,"40.76500525,-73.95818491",Lenox Hill,10065,NY,Manhattan
430,Leonard St & Church St,40.717571,-74.005549,"40.717571,-74.005549",Tribeca,10013,NY,Manhattan
431,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,"40.71413311,-73.95234386",Williamsburg,11211,NY,Brooklyn
432,Peck Slip & Front St,40.707873,-74.00166999999999,"40.707873,-74.00167",Financial District,10038,NY,Manhattan
433,N 8 St & Driggs Ave,40.71774592,-73.95600096,"40.71774592,-73.95600096",Williamsburg,11211,NY,Brooklyn
434,21 St & 41 Ave,40.75383343437622,-73.94267678260802,"40.7538334344,-73.9426767826",Long Island City,11101,NY,Queens
435,1 Ave & E 78 St,40.77140426,-73.9535166,"40.77140426,-73.9535166",Upper East Side,10075,NY,Manhattan
436,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,"40.72311651,-73.95212324",Williamsburg,11222,NY,Brooklyn
437,5 Ave & E 63 St,40.76650452,-73.97147595,"40.76650452,-73.97147595",Lenox Hill,10019,NY,Manhattan
438,1 Ave & E 62 St,40.761227399999996,-73.96094022,"40.7612274,-73.96094022",Lenox Hill,10065,NY,Manhattan
439,Central Park West & W 68 St,40.7734066,-73.97782542,"40.7734066,-73.97782542",Central Park,10023,NY,Manhattan
440,Pershing Square South,40.751581,-73.97791,"40.751581,-73.97791",Murray Hill,10168,NY,Manhattan
441,Jackson Ave & 46 Rd,40.74524768,-73.94733276,"40.74524768,-73.94733276",Hunters Point,11101,NY,Queens
442,W 82 St & Central Park West,40.78275,-73.97137,"40.78275,-73.97137",Central Park,10024,NY,Manhattan
443,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,"40.6823687,-73.944118",Bedford-Stuyvesant,11216,NY,Brooklyn
444,Frost St & Meeker St,40.71764,-73.94882,"40.71764,-73.94882",Williamsburg,11211,NY,Brooklyn
445,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,"40.6851595999,-73.9771136642",Fort Greene,11217,NY,Brooklyn
446,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,"40.728846,-74.008591",Hudson Square,10014,NY,Manhattan
447,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,"40.6947570136,-73.9905273914",Downtown Brooklyn,11201,NY,Brooklyn
448,Milton St & Franklin St,40.72906,-73.95779,"40.72906,-73.95779",Greenpoint,11222,NY,Brooklyn
449,Devoe St & Leonard St,40.71348658,-73.94792458,"40.71348658,-73.94792458",Williamsburg,11211,NY,Brooklyn
450,Norman Ave & Leonard St,40.725848299999996,-73.95064893,"40.7258483,-73.95064893",Greenpoint,11222,NY,Brooklyn
451,31 St & Thomson Ave,40.74469738,-73.93540375,"40.74469738,-73.93540375",Long Island City,11101,NY,Queens
452,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,"40.7431155538,-73.9821535349",Rose Hill,10016,NY,Manhattan
453,Putnam Ave & Throop Ave,40.6851532,-73.94111,"40.6851532,-73.94111",Bedford-Stuyvesant,11221,NY,Brooklyn
454,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,"40.7775070275,-73.9888858795",Lincoln Square,10069,NY,Manhattan
455,E 72 St & Park Ave,40.77122923,-73.96432627,"40.77122923,-73.96432627",Lenox Hill,10021,NY,Manhattan
456,Bond St & Fulton St,40.68962188790333,-73.98304268717766,"40.6896218879,-73.9830426872",Downtown Brooklyn,11201,NY,Brooklyn
457,Nassau Ave & Russell St,40.725570000000005,-73.94434,"40.72557,-73.94434",Greenpoint,11222,NY,Brooklyn
458,Kingston Ave & Herkimer St,40.67890679,-73.94142771,"40.67890679,-73.94142771",Bedford-Stuyvesant,11216,NY,Brooklyn
459,5 Ave & E 73 St,40.77282817,-73.96685276,"40.77282817,-73.96685276",Lenox Hill,10021,NY,Manhattan
460,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,"40.7757937668,-73.9762057364",Central Park,10023,NY,Manhattan
461,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,"40.7589965596,-73.9686539769",Midtown East,10022,NY,Manhattan
462,W 78 St & Broadway,40.78339981,-73.98093133,"40.78339981,-73.98093133",Upper West Side,10024,NY,Manhattan
463,Cambridge Pl & Gates Ave,40.68488,-73.96304,"40.68488,-73.96304",Clinton Hill,11238,NY,Brooklyn
464,45 Rd & 11 St,40.74708586,-73.94977234,"40.74708586,-73.94977234",Long Island City,11101,NY,Queens
465,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,"40.69072549,-73.95133465",Bedford-Stuyvesant,11205,NY,Brooklyn
466,Fulton St & Washington Ave,40.683048,-73.964915,"40.683048,-73.964915",Clinton Hill,11238,NY,Brooklyn
467,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,"40.74232744,-73.95411749",Hunters Point,11101,NY,Queens
468,Lexington Ave & E 63 St,40.76440023,-73.96648977,"40.76440023,-73.96648977",Lenox Hill,10065,NY,Manhattan
469,47 Ave & 31 St,40.743,-73.93561,"40.743,-73.93561",Long Island City,11101,NY,Queens
470,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,"40.69237074,-73.93705428",Bedford-Stuyvesant,11221,NY,Brooklyn
471,Berry St & N 8 St,40.7190095,-73.95852515,"40.7190095,-73.95852515",Williamsburg,11249,NY,Brooklyn
472,Fulton St & Utica Ave,40.6794268,-73.92989109999999,"40.6794268,-73.9298911",Bedford-Stuyvesant,11233,NY,Brooklyn
473,Lewis Ave & Madison St,40.686312,-73.935775,"40.686312,-73.935775",Bedford-Stuyvesant,11221,NY,Brooklyn
474,Leonard St & Manhattan Ave,40.72152240339303,-73.94898265600203,"40.7215224034,-73.948982656",Greenpoint,11222,NY,Brooklyn
475,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,"40.69622937,-73.94371094",Bedford-Stuyvesant,11206,NY,Brooklyn
476,E 48 St & Madison Ave,40.75666,-73.97668399999999,"40.75666,-73.976684",Midtown East,10017,NY,Manhattan
477,Graham Ave & Grand St,40.711863,-73.944024,"40.711863,-73.944024",Williamsburg,11211,NY,Brooklyn
478,Boerum St & Broadway,40.70538077,-73.94976519,"40.70538077,-73.94976519",Williamsburg,11206,NY,Brooklyn
479,Union Ave & Jackson St,40.7160751,-73.95202900000001,"40.7160751,-73.952029",Williamsburg,11211,NY,Brooklyn
480,Pershing Square North,40.751872999999996,-73.97770600000001,"40.751873,-73.977706",Murray Hill,10168,NY,Manhattan
481,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,"40.7572456791,-73.9780591428",Midtown East,10017,NY,Manhattan
482,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,"40.77748046,-73.98288594",Lincoln Square,10023,NY,Manhattan
483,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,"40.73026,-73.95394",Greenpoint,11222,NY,Brooklyn
484,East End Ave & E 86 St,40.77518615,-73.94446054,"40.77518615,-73.94446054",Yorkville,10028,NY,Manhattan
485,Fulton St & Broadway,40.711065999999995,-74.009447,"40.711066,-74.009447",Financial District,10007,NY,Manhattan
486,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,"40.73555,-73.95284",Greenpoint,11222,NY,Brooklyn
487,Lewis Ave & Decatur St,40.6814598,-73.934903,"40.6814598,-73.934903",Stuyvesant Heights,11216,NY,Brooklyn
488,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,"40.7801839724,-73.9772853255",Upper West Side,10023,NY,Manhattan
489,Union Ave & N 12 St,40.71924,-73.95241999999999,"40.71924,-73.95242",Williamsburg,11222,NY,Brooklyn
490,PABT Valet,40.75898481399634,-73.99379968643187,"40.758984814,-73.9937996864",Hell's Kitchen,10036,NY,Manhattan
491,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,"40.686203,-73.944694",Bedford-Stuyvesant,11216,NY,Brooklyn
492,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,"40.7739139024,-73.9543953538",Yorkville,10075,NY,Manhattan
493,E 81 St & York Ave,40.7728384,-73.94989233,"40.7728384,-73.94989233",Yorkville,10028,NY,Manhattan
494,Center Blvd & Borden Ave,40.741609999999994,-73.96044,"40.74161,-73.96044",Long Island City,11101,NY,Queens
495,E 77 St & 3 Ave,40.77314236,-73.95856158,"40.77314236,-73.95856158",Upper East Side,10075,NY,Manhattan
496,University Pl & E 8 St,40.73143724085228,-73.99490341544151,"40.7314372409,-73.9949034154",Greenwich Village,10003,NY,Manhattan
497,E 77 St & Park Ave,40.774405455003,-73.96175265312193,"40.774405455,-73.9617526531",Lenox Hill,10075,NY,Manhattan
498,Leonard St & Meeker Ave,40.717318403855785,-73.9482021331787,"40.7173184039,-73.9482021332",Williamsburg,11211,NY,Brooklyn
499,Broadway & Roebling St,40.70925562,-73.95982218,"40.70925562,-73.95982218",Williamsburg,11211,NY,Brooklyn
500,E 71 St & 2 Ave,40.76817546742245,-73.95910263061523,"40.7681754674,-73.9591026306",Lenox Hill,10021,NY,Manhattan
501,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,"40.7589238638,-73.9622622728",Sutton Place,10022,NY,Manhattan
502,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,"40.6910292568,-73.9918336272",Brooklyn Heights,11201,NY,Brooklyn
503,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,"40.758984814,-73.9937996864",Hell's Kitchen,10036,NY,Manhattan
504,Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,"40.7248125644,-73.9475262165",Greenpoint,11222,NY,Brooklyn
505,Allen St & Stanton St,40.722055,-73.989111,"40.722055,-73.989111",Lower East Side,10002,NY,Manhattan
506,KentAve&N7 St,40.72057658,-73.96150225,"40.72057658,-73.96150225",Williamsburg,11249,NY,Brooklyn
507,8 Ave & W 31 St N,40.750967348715974,-73.99444207549095,"40.7509673487,-73.9944420755",Chelsea,10199,NY,Manhattan
508,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,"40.7671284035,-73.9622461796",Lenox Hill,10065,NY,Manhattan
509,Verona Pl & Fulton St,40.680356084043396,-73.94767910242079,"40.680356084,-73.9476791024",Bedford-Stuyvesant,11216,NY,Brooklyn
510,3969.TEMP (Bike The Branches - Central Branch),40.722852,-73.959114,"40.722852,-73.959114",Williamsburg,11249,NY,Brooklyn
511,Yankee Ferry Terminal,40.686931,-74.016966,"40.686931,-74.016966",Governors Island,11231,NY,Manhattan
512,Bike The Branches - Red Hook Branch,40.67534953067412,-74.01002034544946,"40.6753495307,-74.0100203454",Red Hook,11231,NY,Brooklyn
513,Bike The Branches - Central Branch,40.67280641227746,-73.96886587142943,"40.6728064123,-73.9688658714",Prospect Heights,11238,NY,Brooklyn
514,Soissons Landing,40.69231660719192,-74.01486575603484,"40.6923166072,-74.014865756",Governors Island,11231,NY,Manhattan
515,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,"40.7493702419,-73.9992338419",Chelsea,10001,NY,Manhattan
516,3 Ave & E 71 St,40.76873687,-73.96119945,"40.76873687,-73.96119945",Lenox Hill,10021,NY,Manhattan
517,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,"40.7277140778,-74.0112957358",Lower Manhattan,10014,NY,Manhattan
518,Mercer St & Bleecker St S,40.72679454,-73.99695094,"40.72679454,-73.99695094",Greenwich Village,10012,NY,Manhattan
519,Adventures NYC,40.77376867022874,-73.97116988897324,"40.7737686702,-73.971169889",Central Park,10024,NY,Manhattan
520,Lafayette St & Jersey St N,40.72456089,-73.99565293,"40.72456089,-73.99565293",Nolita,10012,NY,Manhattan
521,Kiosk in a box Motivate,40.646677898897856,-74.01630342006682,"40.6466778989,-74.0163034201",Sunset Park,11232,NY,Brooklyn
522,E 61 St & Park Ave,40.76421007169064,-73.96910458803177,"40.7642100717,-73.969104588",Lenox Hill,10065,NY,Manhattan
523,NYCBS Depot - STY,40.729193,-73.97665500000001,"40.729193,-73.976655",Stuyvesant Town,10009,NY,Manhattan
524,NYCBS Depot - SSP,40.646768,-74.01651,"40.646768,-74.01651",Sunset Park,11232,NY,Brooklyn
525,NYCBS Depot - FAR,40.751483,-73.996764,"40.751483,-73.996764",Chelsea,10199,NY,Manhattan
526,Greenwich St & North Moore St,40.72015227023285,-74.01036500930786,"40.7201522702,-74.0103650093",Tribeca,10013,NY,Manhattan
527,1 Ave & E 16 St,40.73221853,-73.98165557,"40.73221853,-73.98165557",Stuyvesant Town,10009,NY,Manhattan
528,NYCBS Depot - PIT,40.716909780459645,-73.98383796215056,"40.7169097805,-73.9838379622",Lower East Side,10002,NY,Manhattan
529,SSP Tech Workshop,40.646678,-74.016263,"40.646678,-74.016263",Sunset Park,11232,NY,Brooklyn
530,8D OPS 01,40.684868747593924,-74.02544975280763,"40.6848687476,-74.0254497528",Governors Island,11231,NY,Manhattan
531,Kiosk in a box Deployment,40.70861098096821,-73.92850399017334,"40.708610981,-73.9285039902",East Williamsburg,11237,NY,Brooklyn
532,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,"40.7292364991,-73.990868032",East Village,10003,NY,Manhattan
533,W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,"40.7501815633,-74.0021842718",Chelsea,10001,NY,Manhattan
534,President St & Henry St,40.6828003,-73.99990419,"40.6828003,-73.99990419",Carroll Gardens,11231,NY,Brooklyn
535,3 Ave & 14 St,40.6685455,-73.99333264,"40.6685455,-73.99333264",Gowanus,11215,NY,Brooklyn
536,Clinton St & 4 Place,40.6783563,-74.00014502,"40.6783563,-74.00014502",Carroll Gardens,11231,NY,Brooklyn
537,Court St & Nelson St,40.6763947,-73.99869893,"40.6763947,-73.99869893",Carroll Gardens,11231,NY,Brooklyn
538,E 89 St & York Ave,40.7779453,-73.94604100000001,"40.7779453,-73.946041",Yorkville,10128,NY,Manhattan
539,Henry St & Degraw St,40.684751399999996,-73.99917254,"40.6847514,-73.99917254",Cobble Hill,11231,NY,Brooklyn
540,E 97 St & Madison Ave,40.787801,-73.953559,"40.787801,-73.953559",East Harlem,10029,NY,Manhattan
541,West End Ave & W 107 St,40.8021174,-73.9681805305,"40.8021174,-73.9681805305",Bloomingdale,10025,NY,Manhattan
542,West End Ave & W 94 St,40.7941654,-73.974124,"40.7941654,-73.974124",Upper West Side,10025,NY,Manhattan
543,E 102 St & Park Ave,40.7904828,-73.95033068,"40.7904828,-73.95033068",East Harlem,10029,NY,Manhattan
544,3 Ave & E 100 St,40.787721399999995,-73.94728331,"40.7877214,-73.94728331",East Harlem,10029,NY,Manhattan
545,3 St & 3 Ave,40.675070500000004,-73.98775226,"40.6750705,-73.98775226",Gowanus,11215,NY,Brooklyn
546,Union St & 4 Ave,40.6772744,-73.98282002,"40.6772744,-73.98282002",Park Slope,11215,NY,Brooklyn
547,Commerce St & Van Brunt St,40.681211700000006,-74.00860912,"40.6812117,-74.00860912",Red Hook,11231,NY,Brooklyn
548,Columbus Ave & W 95 St,40.7919557,-73.968087,"40.7919557,-73.968087",Upper West Side,10025,NY,Manhattan
549,Wolcott St & Dwight St,40.6753274,-74.0100698,"40.6753274,-74.0100698",Red Hook,11231,NY,Brooklyn
550,5 Ave & E 93 St,40.785785100000005,-73.957481,"40.7857851,-73.957481",Upper East Side,10128,NY,Manhattan
551,E 89 St & 3 Ave,40.7806284,-73.9521667,"40.7806284,-73.9521667",Yorkville,10128,NY,Manhattan
552,Columbia St & Kane St,40.68763155,-74.0016256,"40.68763155,-74.0016256",Columbia Street Waterfront District,11201,NY,Brooklyn
553,Henry St & W 9 St,40.6763744,-74.00324957,"40.6763744,-74.00324957",Red Hook,11231,NY,Brooklyn
554,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,"40.6651468153,-73.9763760567",Park Slope,11215,NY,Brooklyn
555,10 St & 7 Ave,40.666207799999995,-73.98199886,"40.6662078,-73.98199886",Park Slope,11215,NY,Brooklyn
556,E 95 St & 3 Ave,40.7849032,-73.950503,"40.7849032,-73.950503",Carnegie Hill,10128,NY,Manhattan
557,Dean St & Hoyt St,40.686444200000004,-73.98759104,"40.6864442,-73.98759104",Boerum Hill,11217,NY,Brooklyn
558,Clinton St & Union St,40.683116399999996,-73.99785267,"40.6831164,-73.99785267",Carroll Gardens,11231,NY,Brooklyn
559,Columbia St & W 9 St,40.6769993,-74.00647134,"40.6769993,-74.00647134",Red Hook,11231,NY,Brooklyn
560,Columbus Ave & W 103 St,40.7969347,-73.9643412291,"40.7969347,-73.9643412291",Upper West Side,10025,NY,Manhattan
